,Target,Y_hat,Target_Sensation,Y_hat_Sensation
712,1.0,1,Slighty warm,Slighty warm
713,0.0,0,Neutral,Neutral
714,0.0,1,Neutral,Slighty warm
715,0.0,0,Neutral,Neutral
716,3.0,3,Hot,Hot
717,-1.0,0,Slighty cool,Neutral
718,3.0,1,Hot,Slighty warm
719,-1.0,0,Slighty cool,Neutral
720,1.0,1,Slighty warm,Slighty warm
721,0.0,0,Neutral,Neutral
722,0.0,1,Neutral,Slighty warm
723,0.0,0,Neutral,Neutral
724,0.0,1,Neutral,Slighty warm
725,0.0,0,Neutral,Neutral
726,-1.0,0,Slighty cool,Neutral
727,-1.0,0,Slighty cool,Neutral
728,0.0,0,Neutral,Neutral
729,0.0,0,Neutral,Neutral
730,-1.0,0,Slighty cool,Neutral
731,0.0,1,Neutral,Slighty warm
732,-3.0,0,Cold,Neutral
733,0.0,0,Neutral,Neutral
734,1.0,0,Slighty warm,Neutral
735,1.0,0,Slighty warm,Neutral
736,0.0,0,Neutral,Neutral
737,0.0,1,Neutral,Slighty warm
738,-1.0,0,Slighty cool,Neutral
739,0.0,0,Neutral,Neutral
740,0.0,0,Neutral,Neutral
741,0.0,0,Neutral,Neutral
742,-1.0,0,Slighty cool,Neutral
743,0.0,0,Neutral,Neutral
744,0.0,1,Neutral,Slighty warm
745,-1.0,0,Slighty cool,Neutral
746,-1.0,0,Slighty cool,Neutral
747,-1.0,0,Slighty cool,Neutral
748,1.0,1,Slighty warm,Slighty warm
749,0.0,0,Neutral,Neutral
750,0.0,0,Neutral,Neutral
751,0.0,0,Neutral,Neutral
752,0.0,0,Neutral,Neutral
753,1.0,0,Slighty warm,Neutral
754,0.0,0,Neutral,Neutral
755,3.0,1,Hot,Slighty warm
756,1.0,0,Slighty warm,Neutral
757,1.0,1,Slighty warm,Slighty warm
758,0.0,0,Neutral,Neutral
759,-1.0,-1,Slighty cool,Slighty cool
760,-1.0,0,Slighty cool,Neutral
761,1.0,0,Slighty warm,Neutral
762,0.0,2,Neutral,Warm
763,-1.0,0,Slighty cool,Neutral
764,1.0,1,Slighty warm,Slighty warm
765,-1.0,0,Slighty cool,Neutral
766,0.0,1,Neutral,Slighty warm
767,0.0,0,Neutral,Neutral
768,0.0,0,Neutral,Neutral
769,1.0,1,Slighty warm,Slighty warm
770,2.0,2,Warm,Warm
771,0.0,0,Neutral,Neutral
772,0.0,0,Neutral,Neutral
773,-1.0,0,Slighty cool,Neutral
774,0.0,2,Neutral,Warm
775,0.0,0,Neutral,Neutral
776,1.0,1,Slighty warm,Slighty warm
777,0.0,-1,Neutral,Slighty cool
778,2.0,0,Warm,Neutral
779,0.0,0,Neutral,Neutral
780,-1.0,0,Slighty cool,Neutral
781,-1.0,0,Slighty cool,Neutral
782,0.0,0,Neutral,Neutral
783,-2.0,-1,Cool,Slighty cool
784,0.0,0,Neutral,Neutral
785,3.0,0,Hot,Neutral
786,1.0,1,Slighty warm,Slighty warm
787,0.0,1,Neutral,Slighty warm
788,1.0,0,Slighty warm,Neutral
789,1.0,0,Slighty warm,Neutral
790,1.0,-1,Slighty warm,Slighty cool
791,0.0,0,Neutral,Neutral
792,0.0,0,Neutral,Neutral
793,0.0,0,Neutral,Neutral
794,1.0,0,Slighty warm,Neutral
795,0.0,1,Neutral,Slighty warm
796,0.0,0,Neutral,Neutral
797,0.0,1,Neutral,Slighty warm
798,0.0,1,Neutral,Slighty warm
799,0.0,0,Neutral,Neutral
800,-1.0,-1,Slighty cool,Slighty cool
801,0.0,0,Neutral,Neutral
802,1.0,0,Slighty warm,Neutral
803,0.0,0,Neutral,Neutral
804,0.0,0,Neutral,Neutral
805,0.0,0,Neutral,Neutral
806,2.0,2,Warm,Warm
807,1.0,0,Slighty warm,Neutral
808,1.0,1,Slighty warm,Slighty warm
809,3.0,2,Hot,Warm
810,0.0,0,Neutral,Neutral
811,1.0,0,Slighty warm,Neutral
812,0.0,1,Neutral,Slighty warm
813,0.0,0,Neutral,Neutral
814,0.0,-1,Neutral,Slighty cool
815,-3.0,-1,Cold,Slighty cool
816,0.0,0,Neutral,Neutral
817,-1.0,0,Slighty cool,Neutral
818,1.0,0,Slighty warm,Neutral
819,-1.0,0,Slighty cool,Neutral
820,-1.0,0,Slighty cool,Neutral
821,0.0,0,Neutral,Neutral
822,0.0,0,Neutral,Neutral
823,0.0,0,Neutral,Neutral
824,0.0,-1,Neutral,Slighty cool
825,0.0,0,Neutral,Neutral
826,-1.0,1,Slighty cool,Slighty warm
827,0.0,0,Neutral,Neutral
828,-1.0,0,Slighty cool,Neutral
829,0.0,0,Neutral,Neutral
830,2.0,0,Warm,Neutral
831,0.0,0,Neutral,Neutral
832,0.0,0,Neutral,Neutral
833,-1.0,0,Slighty cool,Neutral
834,0.0,0,Neutral,Neutral
835,0.0,1,Neutral,Slighty warm
836,2.0,1,Warm,Slighty warm
837,0.0,1,Neutral,Slighty warm
838,-2.0,0,Cool,Neutral
839,1.0,1,Slighty warm,Slighty warm
840,-1.0,0,Slighty cool,Neutral
841,0.0,-1,Neutral,Slighty cool
842,0.0,0,Neutral,Neutral
843,1.0,1,Slighty warm,Slighty warm
844,1.0,1,Slighty warm,Slighty warm
845,1.0,1,Slighty warm,Slighty warm
846,-1.0,0,Slighty cool,Neutral
847,-1.0,0,Slighty cool,Neutral
848,2.0,0,Warm,Neutral
849,0.0,0,Neutral,Neutral
850,-2.0,-1,Cool,Slighty cool
851,-3.0,-2,Cold,Cool
852,-1.0,0,Slighty cool,Neutral
853,1.0,0,Slighty warm,Neutral
854,0.0,0,Neutral,Neutral
855,-1.0,-1,Slighty cool,Slighty cool
856,0.0,1,Neutral,Slighty warm
857,1.0,0,Slighty warm,Neutral
858,1.0,0,Slighty warm,Neutral
859,-2.0,-1,Cool,Slighty cool
860,0.0,0,Neutral,Neutral
861,1.0,2,Slighty warm,Warm
862,-1.0,0,Slighty cool,Neutral
863,1.0,1,Slighty warm,Slighty warm
864,0.0,1,Neutral,Slighty warm
865,-3.0,0,Cold,Neutral
866,0.0,0,Neutral,Neutral
867,0.0,0,Neutral,Neutral
868,0.0,0,Neutral,Neutral
869,0.0,0,Neutral,Neutral
870,-2.0,-1,Cool,Slighty cool
871,-1.0,-1,Slighty cool,Slighty cool
872,1.0,1,Slighty warm,Slighty warm
873,-0.0,0,Neutral,Neutral
874,-2.0,0,Cool,Neutral
875,-1.0,0,Slighty cool,Neutral
876,3.0,0,Hot,Neutral
877,0.0,0,Neutral,Neutral
878,1.0,1,Slighty warm,Slighty warm
879,1.0,0,Slighty warm,Neutral
880,0.0,0,Neutral,Neutral
881,0.0,0,Neutral,Neutral
882,0.0,0,Neutral,Neutral
883,3.0,1,Hot,Slighty warm
884,0.0,0,Neutral,Neutral
885,-1.0,0,Slighty cool,Neutral
886,0.0,0,Neutral,Neutral
887,2.0,1,Warm,Slighty warm
888,3.0,0,Hot,Neutral
889,0.0,0,Neutral,Neutral
890,1.0,0,Slighty warm,Neutral
891,0.0,0,Neutral,Neutral
892,1.0,1,Slighty warm,Slighty warm
893,-1.0,0,Slighty cool,Neutral
894,0.0,1,Neutral,Slighty warm
895,-1.0,0,Slighty cool,Neutral
896,0.0,0,Neutral,Neutral
897,2.0,0,Warm,Neutral
898,1.0,0,Slighty warm,Neutral
899,0.0,1,Neutral,Slighty warm
900,0.0,1,Neutral,Slighty warm
901,0.0,1,Neutral,Slighty warm
902,0.0,0,Neutral,Neutral
903,3.0,2,Hot,Warm
904,0.0,1,Neutral,Slighty warm
905,-2.0,0,Cool,Neutral
906,0.0,0,Neutral,Neutral
907,1.0,1,Slighty warm,Slighty warm
908,0.0,0,Neutral,Neutral
909,1.0,2,Slighty warm,Warm
910,0.0,0,Neutral,Neutral
911,0.0,0,Neutral,Neutral
912,0.0,0,Neutral,Neutral
913,0.0,0,Neutral,Neutral
914,3.0,2,Hot,Warm
915,0.0,0,Neutral,Neutral
916,-1.0,0,Slighty cool,Neutral
917,2.0,0,Warm,Neutral
918,2.0,0,Warm,Neutral
919,-1.0,0,Slighty cool,Neutral
920,-1.0,0,Slighty cool,Neutral
921,0.0,0,Neutral,Neutral
922,0.0,0,Neutral,Neutral
923,-2.0,0,Cool,Neutral
924,0.0,0,Neutral,Neutral
925,0.0,0,Neutral,Neutral
926,0.0,0,Neutral,Neutral
927,0.0,1,Neutral,Slighty warm
928,0.0,0,Neutral,Neutral
929,0.0,0,Neutral,Neutral
930,0.0,0,Neutral,Neutral
931,0.0,0,Neutral,Neutral
932,0.0,0,Neutral,Neutral
933,0.0,1,Neutral,Slighty warm
934,1.0,1,Slighty warm,Slighty warm
935,-2.0,-1,Cool,Slighty cool
936,-1.0,-1,Slighty cool,Slighty cool
937,-1.0,-1,Slighty cool,Slighty cool
938,1.0,1,Slighty warm,Slighty warm
939,-1.0,0,Slighty cool,Neutral
940,1.0,0,Slighty warm,Neutral
941,1.0,0,Slighty warm,Neutral
942,-1.0,0,Slighty cool,Neutral
943,2.0,1,Warm,Slighty warm
944,-2.0,0,Cool,Neutral
945,-1.0,0,Slighty cool,Neutral
946,1.0,0,Slighty warm,Neutral
947,0.0,0,Neutral,Neutral
948,-2.0,0,Cool,Neutral
949,-1.0,0,Slighty cool,Neutral
950,2.0,0,Warm,Neutral
951,0.0,0,Neutral,Neutral
952,0.0,0,Neutral,Neutral
953,0.0,0,Neutral,Neutral
954,1.0,1,Slighty warm,Slighty warm
955,-1.0,0,Slighty cool,Neutral
956,0.0,0,Neutral,Neutral
957,-2.0,0,Cool,Neutral
958,0.0,0,Neutral,Neutral
959,-1.0,-1,Slighty cool,Slighty cool
960,0.0,0,Neutral,Neutral
961,2.0,1,Warm,Slighty warm
962,2.0,0,Warm,Neutral
963,0.0,1,Neutral,Slighty warm
964,-1.0,0,Slighty cool,Neutral
965,0.0,0,Neutral,Neutral
966,1.0,0,Slighty warm,Neutral
967,0.0,0,Neutral,Neutral
968,-3.0,-1,Cold,Slighty cool
969,1.0,0,Slighty warm,Neutral
970,0.0,-1,Neutral,Slighty cool
971,0.0,0,Neutral,Neutral
972,0.0,0,Neutral,Neutral
973,-2.0,0,Cool,Neutral
974,-1.0,1,Slighty cool,Slighty warm
975,0.0,1,Neutral,Slighty warm
976,-1.0,0,Slighty cool,Neutral
977,-1.0,1,Slighty cool,Slighty warm
978,1.0,1,Slighty warm,Slighty warm
979,1.0,0,Slighty warm,Neutral
980,0.0,0,Neutral,Neutral
981,2.0,0,Warm,Neutral
982,0.0,1,Neutral,Slighty warm
983,-0.0,1,Neutral,Slighty warm
984,0.0,2,Neutral,Warm
985,-1.0,0,Slighty cool,Neutral
986,1.0,1,Slighty warm,Slighty warm
987,0.0,0,Neutral,Neutral
988,0.0,0,Neutral,Neutral
989,1.0,0,Slighty warm,Neutral
990,3.0,1,Hot,Slighty warm
991,-3.0,-1,Cold,Slighty cool
992,2.0,0,Warm,Neutral
993,2.0,1,Warm,Slighty warm
994,0.0,0,Neutral,Neutral
995,-1.0,0,Slighty cool,Neutral
996,-1.0,0,Slighty cool,Neutral
997,0.0,0,Neutral,Neutral
998,-2.0,-2,Cool,Cool
999,0.0,0,Neutral,Neutral
1000,0.0,1,Neutral,Slighty warm
1001,1.0,0,Slighty warm,Neutral
1002,0.0,0,Neutral,Neutral
1003,1.0,0,Slighty warm,Neutral
1004,1.0,1,Slighty warm,Slighty warm
1005,0.0,-1,Neutral,Slighty cool
1006,1.0,0,Slighty warm,Neutral
1007,0.0,0,Neutral,Neutral
1008,0.0,0,Neutral,Neutral
1009,0.0,2,Neutral,Warm
1010,3.0,1,Hot,Slighty warm
1011,0.0,0,Neutral,Neutral
1012,-1.0,0,Slighty cool,Neutral
1013,-0.0,0,Neutral,Neutral
1014,0.0,0,Neutral,Neutral
1015,0.0,0,Neutral,Neutral
1016,0.0,0,Neutral,Neutral
1017,0.0,0,Neutral,Neutral
1018,-1.0,-1,Slighty cool,Slighty cool
1019,1.0,2,Slighty warm,Warm
1020,0.0,0,Neutral,Neutral
1021,-2.0,-1,Cool,Slighty cool
1022,0.0,0,Neutral,Neutral
1023,0.0,0,Neutral,Neutral
1024,1.0,0,Slighty warm,Neutral
1025,2.0,2,Warm,Warm
1026,0.0,0,Neutral,Neutral
1027,-2.0,0,Cool,Neutral
1028,0.0,0,Neutral,Neutral
1029,3.0,2,Hot,Warm
1030,3.0,2,Hot,Warm
1031,0.0,0,Neutral,Neutral
1032,-1.0,0,Slighty cool,Neutral
1033,2.0,0,Warm,Neutral
1034,0.0,0,Neutral,Neutral
1035,2.0,0,Warm,Neutral
1036,0.0,1,Neutral,Slighty warm
1037,-1.0,0,Slighty cool,Neutral
1038,1.0,0,Slighty warm,Neutral
1039,1.0,0,Slighty warm,Neutral
1040,0.0,0,Neutral,Neutral
1041,-1.0,-1,Slighty cool,Slighty cool
1042,0.0,0,Neutral,Neutral
1043,2.0,1,Warm,Slighty warm
1044,0.0,0,Neutral,Neutral
1045,2.0,0,Warm,Neutral
1046,0.0,0,Neutral,Neutral
1047,0.0,-1,Neutral,Slighty cool
1048,1.0,0,Slighty warm,Neutral
1049,0.0,0,Neutral,Neutral
1050,2.0,0,Warm,Neutral
1051,0.0,0,Neutral,Neutral
1052,2.0,1,Warm,Slighty warm
1053,1.0,2,Slighty warm,Warm
1054,0.0,0,Neutral,Neutral
1055,0.0,0,Neutral,Neutral
1056,-1.0,0,Slighty cool,Neutral
1057,-1.0,0,Slighty cool,Neutral
1058,-0.0,1,Neutral,Slighty warm
1059,0.0,0,Neutral,Neutral
1060,0.0,1,Neutral,Slighty warm
1061,0.0,1,Neutral,Slighty warm
1062,0.0,0,Neutral,Neutral
1063,0.0,0,Neutral,Neutral
1064,-1.0,0,Slighty cool,Neutral
1065,-1.0,0,Slighty cool,Neutral
1066,3.0,1,Hot,Slighty warm
1067,0.0,0,Neutral,Neutral
1068,1.0,1,Slighty warm,Slighty warm
1069,-1.0,-2,Slighty cool,Cool
1070,-1.0,0,Slighty cool,Neutral
1071,-1.0,0,Slighty cool,Neutral
1072,0.0,0,Neutral,Neutral
1073,1.0,0,Slighty warm,Neutral
1074,0.0,-1,Neutral,Slighty cool
1075,1.0,0,Slighty warm,Neutral
1076,2.0,1,Warm,Slighty warm
1077,0.0,0,Neutral,Neutral
1078,2.0,0,Warm,Neutral
1079,0.0,0,Neutral,Neutral
1080,0.0,0,Neutral,Neutral
1081,1.0,0,Slighty warm,Neutral
1082,0.0,0,Neutral,Neutral
1083,0.0,0,Neutral,Neutral
1084,-1.0,-1,Slighty cool,Slighty cool
1085,0.0,0,Neutral,Neutral
1086,2.0,0,Warm,Neutral
1087,0.0,0,Neutral,Neutral
1088,1.0,1,Slighty warm,Slighty warm
1089,0.0,-1,Neutral,Slighty cool
1090,0.0,1,Neutral,Slighty warm
1091,0.0,0,Neutral,Neutral
1092,0.0,0,Neutral,Neutral
1093,3.0,2,Hot,Warm
1094,0.0,1,Neutral,Slighty warm
1095,-2.0,-1,Cool,Slighty cool
1096,2.0,0,Warm,Neutral
1097,-2.0,0,Cool,Neutral
1098,1.0,0,Slighty warm,Neutral
1099,0.0,0,Neutral,Neutral
1100,0.0,-1,Neutral,Slighty cool
1101,-1.0,0,Slighty cool,Neutral
1102,1.0,1,Slighty warm,Slighty warm
1103,0.0,0,Neutral,Neutral
1104,3.0,1,Hot,Slighty warm
1105,0.0,0,Neutral,Neutral
1106,-1.0,0,Slighty cool,Neutral
1107,1.0,1,Slighty warm,Slighty warm
1108,2.0,0,Warm,Neutral
1109,-1.0,0,Slighty cool,Neutral
1110,0.0,0,Neutral,Neutral
1111,2.0,1,Warm,Slighty warm
1112,-1.0,0,Slighty cool,Neutral
1113,0.0,0,Neutral,Neutral
1114,-1.0,0,Slighty cool,Neutral
1115,1.0,-1,Slighty warm,Slighty cool
1116,0.0,0,Neutral,Neutral
1117,-1.0,0,Slighty cool,Neutral
1118,1.0,0,Slighty warm,Neutral
1119,0.0,0,Neutral,Neutral
1120,0.0,0,Neutral,Neutral
1121,1.0,1,Slighty warm,Slighty warm
1122,-0.0,1,Neutral,Slighty warm
1123,1.0,0,Slighty warm,Neutral
1124,-2.0,0,Cool,Neutral
1125,1.0,0,Slighty warm,Neutral
1126,2.0,0,Warm,Neutral
1127,3.0,1,Hot,Slighty warm
1128,0.0,0,Neutral,Neutral
1129,1.0,0,Slighty warm,Neutral
1130,0.0,0,Neutral,Neutral
1131,0.0,0,Neutral,Neutral
1132,-1.0,0,Slighty cool,Neutral
1133,0.0,1,Neutral,Slighty warm
1134,-1.0,0,Slighty cool,Neutral
1135,0.0,0,Neutral,Neutral
1136,-1.0,0,Slighty cool,Neutral
1137,-1.0,-1,Slighty cool,Slighty cool
1138,0.0,0,Neutral,Neutral
1139,0.0,2,Neutral,Warm
1140,1.0,0,Slighty warm,Neutral
1141,-1.0,0,Slighty cool,Neutral
1142,-1.0,1,Slighty cool,Slighty warm
1143,0.0,0,Neutral,Neutral
1144,1.0,0,Slighty warm,Neutral
1145,-0.0,1,Neutral,Slighty warm
1146,0.0,0,Neutral,Neutral
1147,3.0,2,Hot,Warm
1148,1.0,0,Slighty warm,Neutral
1149,0.0,0,Neutral,Neutral
1150,0.0,0,Neutral,Neutral
1151,0.0,1,Neutral,Slighty warm
1152,-0.0,1,Neutral,Slighty warm
1153,0.0,0,Neutral,Neutral
1154,3.0,0,Hot,Neutral
1155,1.0,0,Slighty warm,Neutral
1156,0.0,0,Neutral,Neutral
1157,1.0,0,Slighty warm,Neutral
1158,0.0,1,Neutral,Slighty warm
1159,1.0,1,Slighty warm,Slighty warm
1160,-1.0,-1,Slighty cool,Slighty cool
1161,0.0,0,Neutral,Neutral
1162,2.0,0,Warm,Neutral
1163,0.0,-1,Neutral,Slighty cool
1164,3.0,1,Hot,Slighty warm
1165,0.0,0,Neutral,Neutral
1166,1.0,1,Slighty warm,Slighty warm
1167,0.0,0,Neutral,Neutral
1168,-1.0,0,Slighty cool,Neutral
1169,0.0,0,Neutral,Neutral
1170,-2.0,-1,Cool,Slighty cool
1171,-0.0,0,Neutral,Neutral
1172,-0.0,0,Neutral,Neutral
1173,0.0,0,Neutral,Neutral
1174,-1.0,0,Slighty cool,Neutral
1175,0.0,0,Neutral,Neutral
1176,0.0,0,Neutral,Neutral
1177,3.0,1,Hot,Slighty warm
1178,1.0,0,Slighty warm,Neutral
1179,0.0,0,Neutral,Neutral
1180,0.0,0,Neutral,Neutral
1181,0.0,0,Neutral,Neutral
1182,-1.0,0,Slighty cool,Neutral
1183,1.0,1,Slighty warm,Slighty warm
1184,2.0,1,Warm,Slighty warm
1185,1.0,0,Slighty warm,Neutral
1186,1.0,0,Slighty warm,Neutral
1187,0.0,1,Neutral,Slighty warm
1188,0.0,0,Neutral,Neutral
1189,-1.0,0,Slighty cool,Neutral
1190,0.0,0,Neutral,Neutral
1191,2.0,3,Warm,Hot
1192,1.0,0,Slighty warm,Neutral
1193,-0.0,1,Neutral,Slighty warm
1194,0.0,-1,Neutral,Slighty cool
1195,2.0,0,Warm,Neutral
1196,1.0,0,Slighty warm,Neutral
1197,1.0,0,Slighty warm,Neutral
1198,-2.0,0,Cool,Neutral
1199,0.0,1,Neutral,Slighty warm
1200,1.0,0,Slighty warm,Neutral
1201,-1.0,0,Slighty cool,Neutral
1202,0.0,1,Neutral,Slighty warm
1203,-1.0,0,Slighty cool,Neutral
1204,3.0,3,Hot,Hot
1205,0.0,0,Neutral,Neutral
1206,-1.0,0,Slighty cool,Neutral
1207,0.0,0,Neutral,Neutral
1208,0.0,0,Neutral,Neutral
1209,3.0,1,Hot,Slighty warm
1210,-2.0,-1,Cool,Slighty cool
1211,0.0,0,Neutral,Neutral
1212,-1.0,-1,Slighty cool,Slighty cool
1213,2.0,1,Warm,Slighty warm
1214,1.0,1,Slighty warm,Slighty warm
1215,1.0,1,Slighty warm,Slighty warm
1216,-2.0,-1,Cool,Slighty cool
1217,-2.0,0,Cool,Neutral
1218,-1.0,0,Slighty cool,Neutral
1219,0.0,0,Neutral,Neutral
1220,0.0,0,Neutral,Neutral
1221,-2.0,-2,Cool,Cool
1222,0.0,0,Neutral,Neutral
1223,1.0,0,Slighty warm,Neutral
1224,-1.0,0,Slighty cool,Neutral
1225,0.0,2,Neutral,Warm
1226,0.0,1,Neutral,Slighty warm
1227,0.0,1,Neutral,Slighty warm
1228,-1.0,0,Slighty cool,Neutral
1229,2.0,2,Warm,Warm
1230,-3.0,-2,Cold,Cool
1231,1.0,0,Slighty warm,Neutral
1232,0.0,0,Neutral,Neutral
1233,0.0,0,Neutral,Neutral
1234,0.0,0,Neutral,Neutral
1235,1.0,-1,Slighty warm,Slighty cool
1236,-1.0,-1,Slighty cool,Slighty cool
1237,2.0,0,Warm,Neutral
1238,2.0,1,Warm,Slighty warm
1239,1.0,1,Slighty warm,Slighty warm
1240,0.0,2,Neutral,Warm
1241,3.0,2,Hot,Warm
1242,0.0,-1,Neutral,Slighty cool
1243,0.0,1,Neutral,Slighty warm
1244,0.0,0,Neutral,Neutral
1245,0.0,1,Neutral,Slighty warm
1246,1.0,0,Slighty warm,Neutral
1247,-1.0,0,Slighty cool,Neutral
1248,-1.0,0,Slighty cool,Neutral
1249,0.0,0,Neutral,Neutral
1250,-2.0,0,Cool,Neutral
1251,0.0,1,Neutral,Slighty warm
1252,-1.0,0,Slighty cool,Neutral
1253,0.0,-1,Neutral,Slighty cool
1254,0.0,1,Neutral,Slighty warm
1255,-1.0,0,Slighty cool,Neutral
1256,0.0,0,Neutral,Neutral
1257,-2.0,-1,Cool,Slighty cool
1258,0.0,1,Neutral,Slighty warm
1259,2.0,1,Warm,Slighty warm
1260,0.0,-1,Neutral,Slighty cool
1261,1.0,0,Slighty warm,Neutral
1262,2.0,0,Warm,Neutral
1263,0.0,0,Neutral,Neutral
1264,2.0,0,Warm,Neutral
1265,0.0,-1,Neutral,Slighty cool
1266,0.0,0,Neutral,Neutral
1267,3.0,2,Hot,Warm
1268,0.0,-1,Neutral,Slighty cool
1269,0.0,1,Neutral,Slighty warm
1270,1.0,1,Slighty warm,Slighty warm
1271,0.0,0,Neutral,Neutral
1272,2.0,1,Warm,Slighty warm
1273,0.0,1,Neutral,Slighty warm
1274,0.0,0,Neutral,Neutral
1275,1.0,1,Slighty warm,Slighty warm
1276,1.0,0,Slighty warm,Neutral
1277,-1.0,0,Slighty cool,Neutral
1278,0.0,0,Neutral,Neutral
1279,0.0,0,Neutral,Neutral
1280,1.0,0,Slighty warm,Neutral
1281,1.0,0,Slighty warm,Neutral
1282,2.0,0,Warm,Neutral
1283,1.0,1,Slighty warm,Slighty warm
1284,0.0,1,Neutral,Slighty warm
1285,0.0,-1,Neutral,Slighty cool
1286,0.0,0,Neutral,Neutral
1287,2.0,1,Warm,Slighty warm
1288,-1.0,0,Slighty cool,Neutral
1289,2.0,1,Warm,Slighty warm
1290,-2.0,1,Cool,Slighty warm
1291,-3.0,-1,Cold,Slighty cool
1292,0.0,0,Neutral,Neutral
1293,0.0,0,Neutral,Neutral
1294,3.0,1,Hot,Slighty warm
1295,0.0,0,Neutral,Neutral
1296,2.0,1,Warm,Slighty warm
1297,3.0,1,Hot,Slighty warm
1298,1.0,1,Slighty warm,Slighty warm
1299,-1.0,-1,Slighty cool,Slighty cool
1300,0.0,0,Neutral,Neutral
1301,3.0,0,Hot,Neutral
1302,2.0,0,Warm,Neutral
1303,2.0,0,Warm,Neutral
1304,0.0,1,Neutral,Slighty warm
1305,1.0,1,Slighty warm,Slighty warm
1306,0.0,0,Neutral,Neutral
1307,-0.0,0,Neutral,Neutral
1308,-1.0,0,Slighty cool,Neutral
1309,0.0,0,Neutral,Neutral
1310,1.0,1,Slighty warm,Slighty warm
1311,1.0,2,Slighty warm,Warm
1312,1.0,1,Slighty warm,Slighty warm
1313,2.0,2,Warm,Warm
1314,0.0,0,Neutral,Neutral
1315,0.0,1,Neutral,Slighty warm
1316,0.0,1,Neutral,Slighty warm
1317,0.0,0,Neutral,Neutral
1318,-1.0,0,Slighty cool,Neutral
1319,0.0,0,Neutral,Neutral
1320,1.0,0,Slighty warm,Neutral
1321,1.0,0,Slighty warm,Neutral
1322,3.0,1,Hot,Slighty warm
1323,-1.0,0,Slighty cool,Neutral
1324,-1.0,0,Slighty cool,Neutral
1325,0.0,1,Neutral,Slighty warm
1326,1.0,1,Slighty warm,Slighty warm
1327,1.0,1,Slighty warm,Slighty warm
1328,3.0,1,Hot,Slighty warm
1329,-2.0,0,Cool,Neutral
1330,0.0,1,Neutral,Slighty warm
1331,0.0,-1,Neutral,Slighty cool
1332,1.0,0,Slighty warm,Neutral
1333,1.0,0,Slighty warm,Neutral
1334,0.0,0,Neutral,Neutral
1335,1.0,1,Slighty warm,Slighty warm
1336,-1.0,1,Slighty cool,Slighty warm
1337,-1.0,0,Slighty cool,Neutral
1338,0.0,0,Neutral,Neutral
1339,-1.0,-1,Slighty cool,Slighty cool
1340,1.0,1,Slighty warm,Slighty warm
1341,0.0,0,Neutral,Neutral
1342,0.0,0,Neutral,Neutral
1343,1.0,0,Slighty warm,Neutral
1344,0.0,0,Neutral,Neutral
1345,-1.0,-1,Slighty cool,Slighty cool
1346,0.0,0,Neutral,Neutral
1347,-1.0,0,Slighty cool,Neutral
1348,1.0,0,Slighty warm,Neutral
1349,0.0,0,Neutral,Neutral
1350,-0.0,0,Neutral,Neutral
1351,0.0,0,Neutral,Neutral
1352,-0.0,0,Neutral,Neutral
1353,0.0,1,Neutral,Slighty warm
1354,0.0,1,Neutral,Slighty warm
1355,1.0,0,Slighty warm,Neutral
1356,0.0,1,Neutral,Slighty warm
1357,1.0,2,Slighty warm,Warm
1358,1.0,1,Slighty warm,Slighty warm
1359,1.0,0,Slighty warm,Neutral
1360,0.0,0,Neutral,Neutral
1361,0.0,0,Neutral,Neutral
1362,3.0,1,Hot,Slighty warm
1363,0.0,0,Neutral,Neutral
1364,0.0,1,Neutral,Slighty warm
1365,0.0,0,Neutral,Neutral
1366,-0.0,0,Neutral,Neutral
1367,0.0,0,Neutral,Neutral
1368,-2.0,0,Cool,Neutral
1369,0.0,0,Neutral,Neutral
1370,0.0,0,Neutral,Neutral
1371,0.0,0,Neutral,Neutral
1372,-1.0,0,Slighty cool,Neutral
1373,1.0,0,Slighty warm,Neutral
1374,-1.0,-1,Slighty cool,Slighty cool
1375,0.0,1,Neutral,Slighty warm
1376,0.0,1,Neutral,Slighty warm
1377,0.0,1,Neutral,Slighty warm
1378,0.0,0,Neutral,Neutral
1379,-2.0,-2,Cool,Cool
1380,-1.0,0,Slighty cool,Neutral
1381,-1.0,0,Slighty cool,Neutral
1382,0.0,0,Neutral,Neutral
1383,1.0,1,Slighty warm,Slighty warm
1384,1.0,2,Slighty warm,Warm
1385,0.0,1,Neutral,Slighty warm
1386,1.0,1,Slighty warm,Slighty warm
1387,0.0,0,Neutral,Neutral
1388,0.0,0,Neutral,Neutral
1389,0.0,0,Neutral,Neutral
1390,0.0,0,Neutral,Neutral
1391,-2.0,0,Cool,Neutral
1392,3.0,1,Hot,Slighty warm
1393,-3.0,0,Cold,Neutral
1394,-1.0,0,Slighty cool,Neutral
1395,0.0,0,Neutral,Neutral
1396,-1.0,0,Slighty cool,Neutral
1397,-1.0,0,Slighty cool,Neutral
1398,0.0,1,Neutral,Slighty warm
1399,1.0,0,Slighty warm,Neutral
1400,-0.0,1,Neutral,Slighty warm
1401,0.0,1,Neutral,Slighty warm
1402,1.0,1,Slighty warm,Slighty warm
1403,2.0,1,Warm,Slighty warm
1404,-1.0,0,Slighty cool,Neutral
1405,-2.0,-1,Cool,Slighty cool
1406,0.0,0,Neutral,Neutral
1407,-3.0,0,Cold,Neutral
1408,0.0,0,Neutral,Neutral
1409,0.0,0,Neutral,Neutral
